title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
Impression Offsetting as an Early Warning Signal of Low CEO Confidence in Acquisitions	Gamache	2019	Gamache 2019 Impression Offsetting as an Early Warning Signal of Low CEO Confidence in Acquisitions.pdf	10.5465/amj.2017.0158	downloaded	Articles	review-article	https://journals.aom.org/doi/10.5465/amj.2017.0158	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0158?download=true		62	5	1307-1332
From Montagues to Capulets: Analyzing the Systemic Nature of Rivalry in Career Mobility	Sgourev	2019	Sgourev 2019 From Montagues to Capulets Analyzing the Systemic Nature of Rivalry in Career Mobility.pdf	10.5465/amj.2017.0662	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0662	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0662?download=true		62	5	1333-1357
Where the Heart Functions Best: Reactive–Affective Conflict and the Disruptive Work of Animal Rights Organizations	Jarvis	2019	Jarvis 2019 Where the Heart Functions Best Reactive–Affective Conflict and the Disruptive Work of Animal Rights Organizations.pdf	10.5465/amj.2017.0342	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0342	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0342?download=true		62	5	1358-1387
The Goldilocks Effect of Strategic Human Resource Management? Optimizing the Benefits of a High-Performance Work System Through the Dual Alignment of Vertical and Horizontal Fit	Han	2019	Han 2019 The Goldilocks Effect of Strategic Human Resource Management Optimizing the Benefits of a High-Performance Work System Through the Dual Alignment of Vertical and Horizontal Fit.pdf	10.5465/amj.2016.1187	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.1187	https://journals.aom.org/doi/pdf/10.5465/amj.2016.1187?download=true		62	5	1388-1412
Bringing “Together”: Emotions and Power in Organizational Responses to Institutional Complexity	Sadeh	2019	Sadeh 2019 Bringing “Together” Emotions and Power in Organizational Responses to Institutional Complexity.pdf	10.5465/amj.2016.1200	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.1200	https://journals.aom.org/doi/pdf/10.5465/amj.2016.1200?download=true		62	5	1413-1443
Structuring Reality Through the Faultlines Lens: The Effects of Structure, Fairness, and Status Conflict on the Activated Faultlines–Performance Relationship	Antino	2019	Antino 2019 Structuring Reality Through the Faultlines Lens The Effects of Structure, Fairness, and Status Conflict on the Activated Faultlines–Performance Relationship.pdf	10.5465/amj.2017.0054	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0054	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0054?download=true		62	5	1444-1470
Dynamics and Implications of Distress Organizing	Kahn	2019	Kahn 2019 Dynamics and Implications of Distress Organizing.pdf	10.5465/amj.2016.0319	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0319	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0319?download=true		62	5	1471-1497
The Ideator’s Bias: How Identity-Induced Self-Efficacy Drives Overestimation in Employee-Driven Process Innovation	Fuchs	2019	Fuchs 2019 The Ideator’s Bias How Identity-Induced Self-Efficacy Drives Overestimation in Employee-Driven Process Innovation.pdf	10.5465/amj.2017.0438	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0438	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0438?download=true		62	5	1498-1522
The Stuff of Legend: History, Memory, and the Temporality of Organizational Identity Construction	Ravasi	2019	Ravasi 2019 The Stuff of Legend History, Memory, and the Temporality of Organizational Identity Construction.pdf	10.5465/amj.2016.0505	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0505	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0505?download=true		62	5	1523-1555
The Dark Side of Transformational Leader Behaviors for Leaders Themselves: A Conservation of Resources Perspective	Lin	2019	Lin 2019 The Dark Side of Transformational Leader Behaviors for Leaders Themselves A Conservation of Resources Perspective.pdf	10.5465/amj.2016.1255	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.1255	https://journals.aom.org/doi/pdf/10.5465/amj.2016.1255?download=true		62	5	1556-1582
Between Legitimacy and Efficiency: An Institutional Theory of Corporate Giving	Jeong	2019	Jeong 2019 Between Legitimacy and Efficiency An Institutional Theory of Corporate Giving.pdf	10.5465/amj.2016.0575	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0575	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0575?download=true		62	5	1583-1608
Microfoundations of Corporate Social Responsibility and Irresponsibility	Shea	2019	Shea 2019 Microfoundations of Corporate Social Responsibility and Irresponsibility.pdf	10.5465/amj.2014.0795	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2014.0795	https://journals.aom.org/doi/pdf/10.5465/amj.2014.0795?download=true		62	5	1609-1642
