title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
Special Research Forum—Our Transformational Era: Implications for Management and Organizations	Gruber	2025	Gruber 2025 Special Research Forum—Our Transformational Era Implications for Management and Organizations.pdf	10.5465/amj.2025.4005	downloaded	From the Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2025.4005	https://journals.aom.org/doi/pdf/10.5465/amj.2025.4005?download=true	
Would Archimedes Shout “Eureka” with Algorithms? The Hidden Hand of Algorithmic Design in Idea Generation, the Creation of Ideation Bubbles, and How Experts Can Burst Them	Lazar	2025	Lazar 2025 Would Archimedes Shout “Eureka” with Algorithms The Hidden Hand of Algorithmic Design in Idea Generation, the Creation of Ideation Bubbles, and How Experts Can Burst Them.pdf	10.5465/amj.2023.1307	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.1307	https://journals.aom.org/doi/pdf/10.5465/amj.2023.1307?download=true	
Interlacing Situated and Algorithmic Modes of Knowledge Work: A Workplace Jurisdiction Perspective	Kim	2025	Kim 2025 Interlacing Situated and Algorithmic Modes of Knowledge Work A Workplace Jurisdiction Perspective.pdf	10.5465/amj.2023.1286	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.1286	https://journals.aom.org/doi/pdf/10.5465/amj.2023.1286?download=true	
Subordinating Humanism: How Colliding Beliefs about a Living Wage Shape Personal Fulfillment and “Professional-Class” Identities in Working-Class Jobs	Seegars	2025	Seegars 2025 Subordinating Humanism How Colliding Beliefs about a Living Wage Shape Personal Fulfillment and “Professional-Class” Identities in Working-Class Jobs.pdf	10.5465/amj.2023.1289	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.1289	https://journals.aom.org/doi/pdf/10.5465/amj.2023.1289?download=true	
Navigating Mental Illness at Work Using Disengagement and Engagement Pathways	Rosado-Solomon	2025	Rosado-Solomon 2025 Navigating Mental Illness at Work Using Disengagement and Engagement Pathways.pdf	10.5465/amj.2023.0430	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.0430	https://journals.aom.org/doi/pdf/10.5465/amj.2023.0430?download=true	
Distributed Knowledge and the Creation of Public Value: Community-Based Organizing and Wildfire Management in Northern California	Stein	2025	Stein 2025 Distributed Knowledge and the Creation of Public Value Community-Based Organizing and Wildfire Management in Northern California.pdf	10.5465/amj.2022.1331	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.1331	https://journals.aom.org/doi/pdf/10.5465/amj.2022.1331?download=true	
Cross-Sector Relational Realignments after an Institutional Crisis: Checking the Instrumentalization of Corporate-Nonprofit Partnerships	Gama	2025	Gama 2025 Cross-Sector Relational Realignments after an Institutional Crisis Checking the Instrumentalization of Corporate-Nonprofit Partnerships.pdf	10.5465/amj.2023.0677	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.0677	https://journals.aom.org/doi/pdf/10.5465/amj.2023.0677?download=true	
The Gendered Complexity of Sponsorship: How Male and Female Sponsors’ Goals Shape Their Social Network Strategies	Campbell	2025	Campbell 2025 The Gendered Complexity of Sponsorship How Male and Female Sponsors’ Goals Shape Their Social Network Strategies.pdf	10.5465/amj.2023.1110	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.1110	https://journals.aom.org/doi/pdf/10.5465/amj.2023.1110?download=true	
Catalyzing Categories: Category Contrast and the Creation of Groundbreaking Inventions	Carnabuci	2025	Carnabuci 2025 Catalyzing Categories Category Contrast and the Creation of Groundbreaking Inventions.pdf	10.5465/amj.2023.1010	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.1010	https://journals.aom.org/doi/pdf/10.5465/amj.2023.1010?download=true	
Vicarious Experimentation: Do Innovators Learn by Being Imitated?	Kim	2025	Kim 2025 Vicarious Experimentation Do Innovators Learn by Being Imitated.pdf	10.5465/amj.2022.1122	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.1122	https://journals.aom.org/doi/pdf/10.5465/amj.2022.1122?download=true	
The Limits of Pivoting: A Culturally Informed Model of Resource Commitments during Repeated Organizational Transformation	Knight	2024	Knight 2024 The Limits of Pivoting A Culturally Informed Model of Resource Commitments during Repeated Organizational Transformation.pdf	10.5465/amj.2023.0314	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2023.0314	https://journals.aom.org/doi/pdf/10.5465/amj.2023.0314?download=true	
