title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
Rethinking Management Scholarship	George	2014	George 2014 Rethinking Management Scholarship.pdf	10.5465/amj.2014.4001	downloaded	From the Editors	editorial	https://journals.aom.org/doi/10.5465/amj.2014.4001	https://journals.aom.org/doi/pdf/10.5465/amj.2014.4001?download=true		57	1	1-6
It's Not Easy Being Green: The Role of Self-Evaluations in Explaining Support of Environmental Issues	Sonenshein	2014	Sonenshein 2014 Its Not Easy Being Green The Role of Self-Evaluations in Explaining Support of Environmental Issues.pdf	10.5465/amj.2010.0445	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2010.0445	https://journals.aom.org/doi/pdf/10.5465/amj.2010.0445?download=true		57	1	7-37
Competitive Parity, Status Disparity, and Mutual Forbearance: Securities Analysts' Competition for Investor Attention	Bowers	2014	Bowers 2014 Competitive Parity, Status Disparity, and Mutual Forbearance Securities Analysts Competition for Investor Attention.pdf	10.5465/amj.2011.0818	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0818	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0818?download=true		57	1	38-62
Courage as Identity Work: Accounts of Workplace Courage	Koerner	2014	Koerner 2014 Courage as Identity Work Accounts of Workplace Courage.pdf	10.5465/amj.2010.0641	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2010.0641	https://journals.aom.org/doi/pdf/10.5465/amj.2010.0641?download=true		57	1	63-93
Power to the Principals! An Experimental Look at Shareholder Say-On-Pay Voting	Krause	2014	Krause 2014 Power to the Principals! An Experimental Look at Shareholder Say-On-Pay Voting.pdf	10.5465/amj.2012.0035	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0035	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0035?download=true		57	1	94-115
Abusive Supervision and Retaliation: A Self-Control Framework	Lian	2014	Lian 2014 Abusive Supervision and Retaliation A Self-Control Framework.pdf	10.5465/amj.2011.0977	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0977	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0977?download=true		57	1	116-139
On Melting Summits: The Limitations of Field-Configuring Events as Catalysts of Change in Transnational Climate Policy	Schüssler	2014	Schüssler 2014 On Melting Summits The Limitations of Field-Configuring Events as Catalysts of Change in Transnational Climate Policy.pdf	10.5465/amj.2011.0812	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0812	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0812?download=true		57	1	140-171
What Goes Around Comes Around: Knowledge Hiding, Perceived Motivational Climate, and Creativity	Černe	2014	Černe 2014 What Goes Around Comes Around Knowledge Hiding, Perceived Motivational Climate, and Creativity.pdf	10.5465/amj.2012.0122	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0122	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0122?download=true		57	1	172-192
Making the Most of Where You Are: Geography, Networks, and Innovation in Organizations	Funk	2014	Funk 2014 Making the Most of Where You Are Geography, Networks, and Innovation in Organizations.pdf	10.5465/amj.2012.0585	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0585	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0585?download=true		57	1	193-222
Falling from Great (and Not-So-Great) Heights: How Initial Status Position Influences Performance after Status Loss	Marr	2014	Marr 2014 Falling from Great (and Not-So-Great) Heights How Initial Status Position Influences Performance after Status Loss.pdf	10.5465/amj.2011.0909	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0909	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0909?download=true		57	1	223-248
Exploring the Locus of Invention: The Dynamics of Network Communities and Firms' Invention Productivity	Sytch	2014	Sytch 2014 Exploring the Locus of Invention The Dynamics of Network Communities and Firms Invention Productivity.pdf	10.5465/amj.2011.0655	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0655	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0655?download=true		57	1	249-279
Newcomers Abroad: Expatriate Adaptation during Early Phases of International Assignments	Firth	2014	Firth 2014 Newcomers Abroad Expatriate Adaptation during Early Phases of International Assignments.pdf	10.5465/amj.2011.0574	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0574	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0574?download=true		57	1	280-300
Corporate Governance and Investors' Perceptions of Foreign IPO Value: An Institutional Perspective	Bell	2014	Bell 2014 Corporate Governance and Investors Perceptions of Foreign IPO Value An Institutional Perspective.pdf	10.5465/amj.2011.0146	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2011.0146	https://journals.aom.org/doi/pdf/10.5465/amj.2011.0146?download=true		57	1	301-320
