title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
Publishing Multimethod Research in AMJ: A Review and Best-Practice Recommendations	Wellman	2023	Wellman 2023 Publishing Multimethod Research in AMJ A Review and Best-Practice Recommendations.pdf	10.5465/amj.2023.4004	downloaded	From the Editors	editorial	https://journals.aom.org/doi/10.5465/amj.2023.4004	https://journals.aom.org/doi/pdf/10.5465/amj.2023.4004?download=true	
“Distinctive from What? And for Whom?” Deep Learning-Based Product Distinctiveness, Social Structure, and Third-Party Certifications	Banerjee	2023	Banerjee 2023 “Distinctive from What And for Whom” Deep Learning-Based Product Distinctiveness, Social Structure, and Third-Party Certifications.pdf	10.5465/amj.2021.0175	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0175	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0175?download=true	
The Glass Wall and the Gendered Evaluation of Role Expansion in Freelancing Careers	Lee	2023	Lee 2023 The Glass Wall and the Gendered Evaluation of Role Expansion in Freelancing Careers.pdf	10.5465/amj.2020.1176	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1176	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1176?download=true	
“We Can’t Compete on Human Rights”: Creating Market-Protected Spaces to Institutionalize the Emerging Logic of Responsible Management	Schuessler	2023	Schuessler 2023 “We Can’t Compete on Human Rights” Creating Market-Protected Spaces to Institutionalize the Emerging Logic of Responsible Management.pdf	10.5465/amj.2020.1614	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1614	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1614?download=true	
Communication Miscalibration: The Price Leaders Pay for Not Sharing Enough	Flynn	2023	Flynn 2023 Communication Miscalibration The Price Leaders Pay for Not Sharing Enough.pdf	10.5465/amj.2021.0245	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0245	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0245?download=true	
The Technological Entrainment of Moral Issues: The Case of Genomic Data Markets	Gray	2023	Gray 2023 The Technological Entrainment of Moral Issues The Case of Genomic Data Markets.pdf	10.5465/amj.2019.1202	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.1202	https://journals.aom.org/doi/pdf/10.5465/amj.2019.1202?download=true	
A Spillover Model of Dreams and Work Behavior: How Dream Meaning Ascription Promotes Awe and Employee Resilience	Belinda	2023	Belinda 2023 A Spillover Model of Dreams and Work Behavior How Dream Meaning Ascription Promotes Awe and Employee Resilience.pdf	10.5465/amj.2021.0377	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0377	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0377?download=true	
The Benefits and Burdens of Work Moralization on Creativity	Kundro	2023	Kundro 2023 The Benefits and Burdens of Work Moralization on Creativity.pdf	10.5465/amj.2021.0273	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0273	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0273?download=true	
Corporate Proximity and Product Market Reentry: The Role of Corporate Headquarters in Business Unit Response to Product Failure	Kim	2023	Kim 2023 Corporate Proximity and Product Market Reentry The Role of Corporate Headquarters in Business Unit Response to Product Failure.pdf	10.5465/amj.2020.0295	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0295	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0295?download=true	
Signaling Legitimacy: Why Mixed-Gender Coalitions Outperform Single-Gender Coalitions in Advocating for Gender Equity	Hussain	2023	Hussain 2023 Signaling Legitimacy Why Mixed-Gender Coalitions Outperform Single-Gender Coalitions in Advocating for Gender Equity.pdf	10.5465/amj.2021.0174	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0174	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0174?download=true	
How Organizations Influence Interpersonal Trust Repair: The Case of a French Antiterrorist Unit	Sala	2023	Sala 2023 How Organizations Influence Interpersonal Trust Repair The Case of a French Antiterrorist Unit.pdf	10.5465/amj.2020.1093	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1093	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1093?download=true	
