title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
The Digital Workforce and the Workplace of the Future	Colbert	2016	Colbert 2016 The Digital Workforce and the Workplace of the Future.pdf	10.5465/amj.2016.4003	downloaded	From the Editors	editorial	https://journals.aom.org/doi/10.5465/amj.2016.4003	https://journals.aom.org/doi/pdf/10.5465/amj.2016.4003?download=true		59	3	731-739
Managing the Consequences of Organizational Stigmatization: Identity Work in a Social Enterprise	Tracey	2016	Tracey 2016 Managing the Consequences of Organizational Stigmatization Identity Work in a Social Enterprise.pdf	10.5465/amj.2013.0483	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0483	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0483?download=true		59	3	740-765
Micro-Foundations of Firm-Specific Human Capital: When Do Employees Perceive Their Skills to be Firm-Specific?	Raffiee	2016	Raffiee 2016 Micro-Foundations of Firm-Specific Human Capital When Do Employees Perceive Their Skills to be Firm-Specific.pdf	10.5465/amj.2014.0286	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2014.0286	https://journals.aom.org/doi/pdf/10.5465/amj.2014.0286?download=true		59	3	766-790
Delaying Change: Examining How Industry and Managerial Turbulence Impact Structural Realignment	Karim	2016	Karim 2016 Delaying Change Examining How Industry and Managerial Turbulence Impact Structural Realignment.pdf	10.5465/amj.2012.0409	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0409	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0409?download=true		59	3	791-817
How Open System Intermediaries Address Institutional Failures: The Case of Business Incubators in Emerging-Market Countries	Dutt	2016	Dutt 2016 How Open System Intermediaries Address Institutional Failures The Case of Business Incubators in Emerging-Market Countries.pdf	10.5465/amj.2012.0463	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0463	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0463?download=true		59	3	818-840
Spilling Outside the Box: The Effects of Individuals’ Creative Behaviors at Work on Time Spent with their Spouses at Home	Harrison	2016	Harrison 2016 Spilling Outside the Box The Effects of Individuals’ Creative Behaviors at Work on Time Spent with their Spouses at Home.pdf	10.5465/amj.2013.0560	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0560	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0560?download=true		59	3	841-859
The Behavioral Theory of the (Governed) Firm: Corporate Board Influences on Organizations’ Responses to Performance Shortfalls	Desai	2016	Desai 2016 The Behavioral Theory of the (Governed) Firm Corporate Board Influences on Organizations’ Responses to Performance Shortfalls.pdf	10.5465/amj.2013.0948	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0948	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0948?download=true		59	3	860-879
Mediated Sensemaking	Strike	2016	Strike 2016 Mediated Sensemaking.pdf	10.5465/amj.2012.0665	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0665	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0665?download=true		59	3	880-905
A Two-Phase Longitudinal Model of a Turnover Event: Disruption, Recovery Rates, and Moderators of Collective Performance	Hale	2016	Donald Hale 2016 A Two-Phase Longitudinal Model of a Turnover Event Disruption, Recovery Rates, and Moderators of Collective Performance.pdf	10.5465/amj.2013.0546	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0546	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0546?download=true		59	3	906-929
Venture Capital Ownership as a Contingent Resource: How Owner–Firm Fit Influences IPO Outcomes	Lungeanu	2016	Lungeanu 2016 Venture Capital Ownership as a Contingent Resource How Owner–Firm Fit Influences IPO Outcomes.pdf	10.5465/amj.2012.0871	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0871	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0871?download=true		59	3	930-955
Relational Changes During Role Transitions: The Interplay of Efficiency and Cohesion	Jonczyk	2016	Jonczyk 2016 Relational Changes During Role Transitions The Interplay of Efficiency and Cohesion.pdf	10.5465/amj.2013.0972	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0972	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0972?download=true		59	3	956-982
Partners in Crime: The Effects of Diversity on the Longevity of Cartels	Bertrand	2016	Bertrand 2016 Partners in Crime The Effects of Diversity on the Longevity of Cartels.pdf	10.5465/amj.2013.1209	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.1209	https://journals.aom.org/doi/pdf/10.5465/amj.2013.1209?download=true		59	3	983-1008
Temporal Institutional Work	Granqvist	2016	Granqvist 2016 Temporal Institutional Work.pdf	10.5465/amj.2013.0416	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0416	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0416?download=true		59	3	1009-1035
Turning their Pain to Gain: Charismatic Leader Influence on Follower Stress Appraisal and Job Performance	LePine	2016	LePine 2016 Turning their Pain to Gain Charismatic Leader Influence on Follower Stress Appraisal and Job Performance.pdf	10.5465/amj.2013.0778	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0778	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0778?download=true		59	3	1036-1059
What Do I Take With Me? The Mediating Effect of Spin-out Team Size and Tenure on the Founder–Firm Performance Relationship	Agarwal	2016	Agarwal 2016 What Do I Take With Me The Mediating Effect of Spin-out Team Size and Tenure on the Founder–Firm Performance Relationship.pdf	10.5465/amj.2012.0853	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2012.0853	https://journals.aom.org/doi/pdf/10.5465/amj.2012.0853?download=true		59	3	1060-1087
How Does Leader Humility Influence Team Performance? Exploring the Mechanisms of Contagion and Collective Promotion Focus	Owens	2016	Owens 2016 How Does Leader Humility Influence Team Performance Exploring the Mechanisms of Contagion and Collective Promotion Focus.pdf	10.5465/amj.2013.0660	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2013.0660	https://journals.aom.org/doi/pdf/10.5465/amj.2013.0660?download=true		59	3	1088-1111
