title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
Recognizing and Utilizing Novel Research Opportunities with Artificial Intelligence	Krogh	2023	Krogh 2023 Recognizing and Utilizing Novel Research Opportunities with Artificial Intelligence.pdf	10.5465/amj.2023.4002	downloaded	From the Editors	editorial	https://journals.aom.org/doi/10.5465/amj.2023.4002	https://journals.aom.org/doi/pdf/10.5465/amj.2023.4002?download=true	
Do I Dare? The Psychodynamics of Anticipated Image Risk, Leader-Identity Endorsement, and Leader Emergence	Cunningham	2023	Cunningham 2023 Do I Dare The Psychodynamics of Anticipated Image Risk, Leader-Identity Endorsement, and Leader Emergence.pdf	10.5465/amj.2018.1258	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.1258	https://journals.aom.org/doi/pdf/10.5465/amj.2018.1258?download=true	
Appraising and Reacting to Perceived Pay For Performance: Leader Competence and Warmth as Critical Contingencies	Kong	2023	Kong 2023 Appraising and Reacting to Perceived Pay For Performance Leader Competence and Warmth as Critical Contingencies.pdf	10.5465/amj.2021.0209	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0209	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0209?download=true	
Inside-Out, Outside-In, or All-in-One? The Role of Network Sequencing in the Elaboration of Ideas	Wal	2023	Wal 2023 Inside-Out, Outside-In, or All-in-One The Role of Network Sequencing in the Elaboration of Ideas.pdf	10.5465/amj.2020.1231	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1231	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1231?download=true	
Leveraging Knowledge Diversity in Hierarchically Differentiated Teams: The Critical Role of Hierarchy Stability	Gray	2023	Gray 2023 Leveraging Knowledge Diversity in Hierarchically Differentiated Teams The Critical Role of Hierarchy Stability.pdf	10.5465/amj.2020.1136	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1136	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1136?download=true	
Pay Transparency as a Moving Target: A Multistep Model of Pay Compression, I-Deals, and Collectivist Shared Values	Wong	2023	Wong 2023 Pay Transparency as a Moving Target A Multistep Model of Pay Compression, I-Deals, and Collectivist Shared Values.pdf	10.5465/amj.2020.1831	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1831	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1831?download=true	
With Head and Heart: How Emotions Shape Paradox Navigation in Veterinary Work	Pradies	2023	Pradies 2023 With Head and Heart How Emotions Shape Paradox Navigation in Veterinary Work.pdf	10.5465/amj.2019.0633	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.0633	https://journals.aom.org/doi/pdf/10.5465/amj.2019.0633?download=true	
The Relational Dynamics of Issue-Selling: Enacting Different Genres for Dealing with Discontent	Lauche	2023	Lauche 2023 The Relational Dynamics of Issue-Selling Enacting Different Genres for Dealing with Discontent.pdf	10.5465/amj.2020.1484	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1484	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1484?download=true	
The Role of Attribution in Learning from Performance Feedback: Behavioral Perspective on the Choice between Alliances and Acquisitions	Lee	2023	Lee 2023 The Role of Attribution in Learning from Performance Feedback Behavioral Perspective on the Choice between Alliances and Acquisitions.pdf	10.5465/amj.2019.1293	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.1293	https://journals.aom.org/doi/pdf/10.5465/amj.2019.1293?download=true	
Learning Down to Train Up: Mentors Are More Effective When They Value Insights from Below	Zhang	2023	Zhang 2023 Learning Down to Train Up Mentors Are More Effective When They Value Insights from Below.pdf	10.5465/amj.2021.0430	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0430	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0430?download=true	
Mixed Messages: Crisis Communication–Dismissal (In)Coherence and Shareholder Trust Following Misconduct	Hersel	2023	Hersel 2023 Mixed Messages Crisis Communication–Dismissal (In)Coherence and Shareholder Trust Following Misconduct.pdf	10.5465/amj.2020.0275	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0275	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0275?download=true	
Lay Theories of Instrumental Relations: Explaining Individual Differences in Dispositional Similarity-Attraction	Kuwabara	2023	Kuwabara 2023 Lay Theories of Instrumental Relations Explaining Individual Differences in Dispositional Similarity-Attraction.pdf	10.5465/amj.2020.0770	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0770	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0770?download=true	
Does Job Satisfaction Rise and Fall with the Economy? Cross-Sectional, Longitudinal, and Experimental Evidence That Job Satisfaction Increases during Recessions	Bianchi	2023	Bianchi 2023 Does Job Satisfaction Rise and Fall with the Economy Cross-Sectional, Longitudinal, and Experimental Evidence That Job Satisfaction Increases during Recessions.pdf	10.5465/amj.2019.0405	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.0405	https://journals.aom.org/doi/pdf/10.5465/amj.2019.0405?download=true	
