title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
From the Editors—Disciplinary Code Switching at AMJ: The Tale of Goldilocks and the Three Journals	DeCelles	2019	DeCelles 2019 From the Editors—Disciplinary Code Switching at AMJ The Tale of Goldilocks and the Three Journals.pdf	10.5465/amj.2019.4003	downloaded	From the Editors	editorial	https://journals.aom.org/doi/10.5465/amj.2019.4003	https://journals.aom.org/doi/pdf/10.5465/amj.2019.4003?download=true		62	3	635-640
Crossed Wires: Endorsement Signals and the Effects of IPO Firm Delistings on Venture Capitalists’ Reputations	Gomulya	2019	Gomulya 2019 Crossed Wires Endorsement Signals and the Effects of IPO Firm Delistings on Venture Capitalists’ Reputations.pdf	10.5465/amj.2016.0796	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0796	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0796?download=true		62	3	641-666
Visions of Change as Visions of Continuity	Venus	2019	Venus 2019 Visions of Change as Visions of Continuity.pdf	10.5465/amj.2015.1196	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2015.1196	https://journals.aom.org/doi/pdf/10.5465/amj.2015.1196?download=true		62	3	667-690
Ego-Network Stability and Innovation in Alliances	Kumar	2019	Kumar 2019 Ego-Network Stability and Innovation in Alliances.pdf	10.5465/amj.2016.0819	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0819	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0819?download=true		62	3	691-716
It’s Not Just What is Said, but When it’s Said: A Temporal Account of Verbal Behaviors and Emergent Leadership in Self-Managed Teams	Gerpott	2019	Gerpott 2019 It’s Not Just What is Said, but When it’s Said A Temporal Account of Verbal Behaviors and Emergent Leadership in Self-Managed Teams.pdf	10.5465/amj.2017.0149	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0149	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0149?download=true		62	3	717-738
“Matter Battles”: Cognitive Representations, Boundary Objects, and the Failure of Collaboration in Two Smart Cities	Zuzul	2019	Zuzul 2019 “Matter Battles” Cognitive Representations, Boundary Objects, and the Failure of Collaboration in Two Smart Cities.pdf	10.5465/amj.2016.0625	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0625	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0625?download=true		62	3	739-764
Collective Emotions in Institutional Creation Work	Farny	2019	Farny 2019 Collective Emotions in Institutional Creation Work.pdf	10.5465/amj.2016.0711	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0711	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0711?download=true		62	3	765-799
Regulatory Uncertainty, Corporate Structure, and Strategic Agendas: Evidence from the U.S. Renewable Electricity Industry	Dutt	2019	Dutt 2019 Regulatory Uncertainty, Corporate Structure, and Strategic Agendas Evidence from the U.S. Renewable Electricity Industry.pdf	10.5465/amj.2016.0682	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0682	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0682?download=true		62	3	800-827
The Voice Bystander Effect: How Information Redundancy Inhibits Employee Voice	Hussain	2019	Hussain 2019 The Voice Bystander Effect How Information Redundancy Inhibits Employee Voice.pdf	10.5465/amj.2017.0245	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0245	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0245?download=true		62	3	828-849
The Social Practice of Coevolving Strategy and Structure to Realize Mandated Radical Change	Jarzabkowski	2019	Jarzabkowski 2019 The Social Practice of Coevolving Strategy and Structure to Realize Mandated Radical Change.pdf	10.5465/amj.2016.0689	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0689	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0689?download=true		62	3	850-882
Friends, Gifts, and Cliques: Social Proximity and Recognition in Peer-Based Tournament Rituals	Aadland	2019	Aadland 2019 Friends, Gifts, and Cliques Social Proximity and Recognition in Peer-Based Tournament Rituals.pdf	10.5465/amj.2016.0437	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.0437	https://journals.aom.org/doi/pdf/10.5465/amj.2016.0437?download=true		62	3	883-917
Responding to Bad Press: How CEO Temporal Focus Influences the Sensitivity to Negative Media Coverage of Acquisitions	Gamache	2019	Gamache 2019 Responding to Bad Press How CEO Temporal Focus Influences the Sensitivity to Negative Media Coverage of Acquisitions.pdf	10.5465/amj.2017.0526	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0526	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0526?download=true		62	3	918-943
Stuck in the Past? The Influence of a Leader’s Past Cultural Experience on Group Culture and Positive and Negative Group Deviance	Kim	2019	Kim 2019 Stuck in the Past The Influence of a Leader’s Past Cultural Experience on Group Culture and Positive and Negative Group Deviance.pdf	10.5465/amj.2016.1322	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2016.1322	https://journals.aom.org/doi/pdf/10.5465/amj.2016.1322?download=true		62	3	944-969
