title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
From the Editors—That’s Important, Interesting, and Generative: Winners of the AMJ 2021 Best Paper Award and 2022 Research Impact Award	Howard-Grenville	2022	Howard-Grenville 2022 From the Editors—That’s Important, Interesting, and Generative Winners of the AMJ 2021 Best Paper Award and 2022 Research Impact Award.pdf	10.5465/amj.2022.4005	downloaded	From the Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2022.4005	https://journals.aom.org/doi/pdf/10.5465/amj.2022.4005?download=true		65	5	1417-1423
When Do Outside CEOs Underperform? From a CEO-Centric to a Stakeholder-Centric Perspective of Post-Succession Performance	Keil	2022	Keil 2022 When Do Outside CEOs Underperform From a CEO-Centric to a Stakeholder-Centric Perspective of Post-Succession Performance.pdf	10.5465/amj.2018.1087	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.1087	https://journals.aom.org/doi/pdf/10.5465/amj.2018.1087?download=true		65	5	1424-1449
When and Why Bias Suppression Is Difficult to Sustain: The Asymmetric Effect of Intermittent Accountability	Solomon	2022	Solomon 2022 When and Why Bias Suppression Is Difficult to Sustain The Asymmetric Effect of Intermittent Accountability.pdf	10.5465/amj.2020.0441	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0441	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0441?download=true		65	5	1450-1476
Enabling Rapid Financial Response to Disasters: Knotting and Reknotting Multiple Paradoxes in Interorganizational Systems	Jarzabkowski	2022	Jarzabkowski 2022 Enabling Rapid Financial Response to Disasters Knotting and Reknotting Multiple Paradoxes in Interorganizational Systems.pdf	10.5465/amj.2019.0745	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.0745	https://journals.aom.org/doi/pdf/10.5465/amj.2019.0745?download=true		65	5	1477-1506
Surging Underdogs and Slumping Favorites: How Recent Streaks and Future Expectations Drive Competitive Transgressions	Doyle	2022	Doyle 2022 Surging Underdogs and Slumping Favorites How Recent Streaks and Future Expectations Drive Competitive Transgressions.pdf	10.5465/amj.2019.1008	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.1008	https://journals.aom.org/doi/pdf/10.5465/amj.2019.1008?download=true		65	5	1507-1540
Ruminating on What You Think of Me: A Grounded Model of Construed Image Work	Williams	2022	Williams 2022 Ruminating on What You Think of Me A Grounded Model of Construed Image Work.pdf	10.5465/amj.2020.0963	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0963	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0963?download=true		65	5	1541-1570
The Highs and Lows of Hierarchy in Multiteam Systems	Matusik	2022	Matusik 2022 The Highs and Lows of Hierarchy in Multiteam Systems.pdf	10.5465/amj.2020.0369	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0369	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0369?download=true		65	5	1571-1592
How Leaders with Divergent Visions Generate Novel Strategy: Navigating the Paradox of Preservation and Modernization in Swiss Watchmaking	Raffaelli	2022	Raffaelli 2022 How Leaders with Divergent Visions Generate Novel Strategy Navigating the Paradox of Preservation and Modernization in Swiss Watchmaking.pdf	10.5465/amj.2018.0764	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0764	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0764?download=true		65	5	1593-1622
Overcoming Conflict Between Symmetric Occupations: How “Creatives” and “Suits” Use Gender Ordering in Advertising	Koppman	2022	Koppman 2022 Overcoming Conflict Between Symmetric Occupations How “Creatives” and “Suits” Use Gender Ordering in Advertising.pdf	10.5465/amj.2020.0806	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0806	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0806?download=true		65	5	1623-1651
Paradoxical Leadership and Innovation in Work Teams: The Multilevel Mediating Role of Ambidexterity and Leader Vision as a Boundary Condition	Zhang	2022	Zhang 2022 Paradoxical Leadership and Innovation in Work Teams The Multilevel Mediating Role of Ambidexterity and Leader Vision as a Boundary Condition.pdf	10.5465/amj.2017.1265	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.1265	https://journals.aom.org/doi/pdf/10.5465/amj.2017.1265?download=true		65	5	1652-1679
Intersectionality in Intractable Dirty Work: How Mumbai Ragpickers Make Meaning of Their Work and Lives	Shepherd	2022	Shepherd 2022 Intersectionality in Intractable Dirty Work How Mumbai Ragpickers Make Meaning of Their Work and Lives.pdf	10.5465/amj.2019.0125	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.0125	https://journals.aom.org/doi/pdf/10.5465/amj.2019.0125?download=true		65	5	1680-1708
Going Viral or Growing Like an Oak Tree? Towards Sustainable Local Development Through Entrepreneurship	Kim	2022	Kim 2022 Going Viral or Growing Like an Oak Tree Towards Sustainable Local Development Through Entrepreneurship.pdf	10.5465/amj.2018.0041	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0041	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0041?download=true		65	5	1709-1746
A Trojan Horse Inside the Gates? Knowledge Spillovers During Patent Litigation	Awate	2022	Awate 2022 A Trojan Horse Inside the Gates Knowledge Spillovers During Patent Litigation.pdf	10.5465/amj.2018.1181	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.1181	https://journals.aom.org/doi/pdf/10.5465/amj.2018.1181?download=true		65	5	1747-1769
