title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
Analyzing Academy of Management Journal Operations with Artificial Intelligence (2006–2022)	Gruber	2025	Gruber 2025 Analyzing Academy of Management Journal Operations with Artificial Intelligence (2006–2022).pdf	10.5465/amj.2025.4001	downloaded	From the Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2025.4001	https://journals.aom.org/doi/pdf/10.5465/amj.2025.4001?download=true	
From a Portfolio of Journals to a System of Knowledge Production	Cronin	2025	Cronin 2025 From a Portfolio of Journals to a System of Knowledge Production.pdf	10.5465/amj.2025.0123	downloaded	From the AOM Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2025.0123	https://journals.aom.org/doi/pdf/10.5465/amj.2025.0123?download=true	
Bright and Dark Imagining: How Creators Navigate Moral Consequences of Developing Ideas for Artificial Intelligence	Hagtvedt	2024	Hagtvedt 2024 Bright and Dark Imagining How Creators Navigate Moral Consequences of Developing Ideas for Artificial Intelligence.pdf	10.5465/amj.2022.0850	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0850	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0850?download=true	
Does Identification Hurt or Help Under Identity Threat? The Exacerbating Role of Identity Centrality on Feeling Offended and the Buffering Role of Coworker Solidarity on Identity-Protection Behaviors	Johnson	2024	Johnson 2024 Does Identification Hurt or Help Under Identity Threat The Exacerbating Role of Identity Centrality on Feeling Offended and the Buffering Role of Coworker Solidarity on Identity-Protection Behaviors.pdf	10.5465/amj.2022.0221	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0221	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0221?download=true	
The Paradox of Spatial and Relational Embeddedness: Tie Reinitiation after a Trust Violation	Kumar	2024	Kumar 2024 The Paradox of Spatial and Relational Embeddedness Tie Reinitiation after a Trust Violation.pdf	10.5465/amj.2022.1143	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.1143	https://journals.aom.org/doi/pdf/10.5465/amj.2022.1143?download=true	
Socialization as a Political Arena: A Multi-Agent Interactionist Perspective to Understand Political Skill and Newcomer Socialization Rates	Deng	2024	Deng 2024 Socialization as a Political Arena A Multi-Agent Interactionist Perspective to Understand Political Skill and Newcomer Socialization Rates.pdf	10.5465/amj.2022.0669	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0669	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0669?download=true	
A Tale of Two Signals: Partner CSR versus CSI and Alliance Formation	Yu	2024	Yu 2024 A Tale of Two Signals Partner CSR versus CSI and Alliance Formation.pdf	10.5465/amj.2022.0862	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0862	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0862?download=true	
Breaking Free or Locking In: How Socially Disadvantaged Individuals Achieve or Reject an Aspired Identity in an Entrepreneurial Context	Jiang	2024	Jiang 2024 Breaking Free or Locking In How Socially Disadvantaged Individuals Achieve or Reject an Aspired Identity in an Entrepreneurial Context.pdf	10.5465/amj.2022.1104	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.1104	https://journals.aom.org/doi/pdf/10.5465/amj.2022.1104?download=true	
A Diversity Signal Set Perspective: Examining Interactive Effects of Diversity Practices on Women and Racialized Non-Leader and Leader Turnover	Trzebiatowski	2024	Trzebiatowski 2024 A Diversity Signal Set Perspective Examining Interactive Effects of Diversity Practices on Women and Racialized Non-Leader and Leader Turnover.pdf	10.5465/amj.2020.1838	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1838	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1838?download=true	
Information-Based Competition: The Case of Rival Owners in Rating Agencies	DesJardine	2024	DesJardine 2024 Information-Based Competition The Case of Rival Owners in Rating Agencies.pdf	10.5465/amj.2022.0421	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0421	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0421?download=true	
