title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note	volume	issue	pages
When Work and Family Blend Together: Examining the Daily Experiences of Breastfeeding Mothers at Work	Gabriel	2020	Gabriel 2020 When Work and Family Blend Together Examining the Daily Experiences of Breastfeeding Mothers at Work.pdf	10.5465/amj.2017.1241	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.1241	https://journals.aom.org/doi/pdf/10.5465/amj.2017.1241?download=true		63	5	1337-1369
Four More Years: Presidential Elections, Comparative Mindset, and Managerial Decisions	Xu	2020	Xu 2020 Four More Years Presidential Elections, Comparative Mindset, and Managerial Decisions.pdf	10.5465/amj.2017.0602	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0602	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0602?download=true		63	5	1370-1394
Virtually (In)separable: The Centrality of Relational Cadence in the Formation of Virtual Multiplex Relationships	Schinoff	2020	Schinoff 2020 Virtually (In)separable The Centrality of Relational Cadence in the Formation of Virtual Multiplex Relationships.pdf	10.5465/amj.2018.0466	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0466	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0466?download=true		63	5	1395-1424
What Drives Exploration? Convergence and Divergence of Exploration Tendencies among Alliance Partners and Competitors	Duysters	2020	Duysters 2020 What Drives Exploration Convergence and Divergence of Exploration Tendencies among Alliance Partners and Competitors.pdf	10.5465/amj.2017.1409	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.1409	https://journals.aom.org/doi/pdf/10.5465/amj.2017.1409?download=true		63	5	1425-1454
Water Wars in Detroit: Custodianship and the Work of Institutional Renewal	Montgomery	2020	Montgomery 2020 Water Wars in Detroit Custodianship and the Work of Institutional Renewal.pdf	10.5465/amj.2017.1098	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.1098	https://journals.aom.org/doi/pdf/10.5465/amj.2017.1098?download=true		63	5	1455-1484
Ups and Downs: The Role of Legitimacy Judgment Cues in Practice Implementation	Jacqueminet	2020	Jacqueminet 2020 Ups and Downs The Role of Legitimacy Judgment Cues in Practice Implementation.pdf	10.5465/amj.2017.0563	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0563	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0563?download=true		63	5	1485-1507
You Are Great and I Am Great (Too): Examining New CEOs’ Social Influence Behaviors during Leadership Transition	Yi	2020	Yi 2020 You Are Great and I Am Great (Too) Examining New CEOs’ Social Influence Behaviors during Leadership Transition.pdf	10.5465/amj.2018.0365	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0365	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0365?download=true		63	5	1508-1534
Stakeholder Preservation or Appropriation? The Influence of Target CSR on Market Reactions to Acquisition Announcements	Tong	2020	Tong 2020 Stakeholder Preservation or Appropriation The Influence of Target CSR on Market Reactions to Acquisition Announcements.pdf	10.5465/amj.2018.0229	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0229	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0229?download=true		63	5	1535-1560
Identity Asymmetries: An Experimental Investigation of Social Identity and Information Exchange in Multiteam Systems	Mell	2020	Mell 2020 Identity Asymmetries An Experimental Investigation of Social Identity and Information Exchange in Multiteam Systems.pdf	10.5465/amj.2018.0325	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0325	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0325?download=true		63	5	1561-1590
Interorganizational Relationships as Political Battlefields: How Fragmentation within Organizations Shapes Relational Dynamics between Organizations	Brattström	2020	Brattström 2020 Interorganizational Relationships as Political Battlefields How Fragmentation within Organizations Shapes Relational Dynamics between Organizations.pdf	10.5465/amj.2018.0038	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0038	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0038?download=true		63	5	1591-1620
Who is Punished Most for Challenging the Status Quo?	Ody-Brasier	2020	Ody-Brasier 2020 Who is Punished Most for Challenging the Status Quo.pdf	10.5465/amj.2017.0683	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2017.0683	https://journals.aom.org/doi/pdf/10.5465/amj.2017.0683?download=true		63	5	1621-1651
Catching the Big Fish: The Role of Scandals in Making Status a Liability	Dewan	2020	Dewan 2020 Catching the Big Fish The Role of Scandals in Making Status a Liability.pdf	10.5465/amj.2018.0685	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.0685	https://journals.aom.org/doi/pdf/10.5465/amj.2018.0685?download=true		63	5	1652-1678
