title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
From the Editors—An Innovative Journal during Transformational Times: Embarking on the 23rd Editorial Term	Gruber	2023	Gruber 2023 From the Editors—An Innovative Journal during Transformational Times Embarking on the 23rd Editorial Term.pdf	10.5465/amj.2023.4001	downloaded	From the Editors	editorial	https://journals.aom.org/doi/10.5465/amj.2023.4001	https://journals.aom.org/doi/pdf/10.5465/amj.2023.4001?download=true	
Polishing the Gilt Edge: Elite Category Endurance and Symbolic Boundaries in U.S. Luxury Hotels, 1790–2015	Lockwood	2023	Lockwood 2023 Polishing the Gilt Edge Elite Category Endurance and Symbolic Boundaries in U.S. Luxury Hotels, 1790–2015.pdf	10.5465/amj.2020.0201	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0201	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0201?download=true	
Painting a Clear Picture while Seeing the Big Picture: When and Why Leaders Overcome the Trade-Off Between Concreteness and Scale	Carton	2023	Carton 2023 Painting a Clear Picture while Seeing the Big Picture When and Why Leaders Overcome the Trade-Off Between Concreteness and Scale.pdf	10.5465/amj.2018.1019	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2018.1019	https://journals.aom.org/doi/pdf/10.5465/amj.2018.1019?download=true	
Balancing “Protective Disguise” with “Harmonious Advocacy”: Social Venture Legitimation in Authoritarian Contexts	Neuberger	2023	Neuberger 2023 Balancing “Protective Disguise” with “Harmonious Advocacy” Social Venture Legitimation in Authoritarian Contexts.pdf	10.5465/amj.2020.0517	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0517	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0517?download=true	
The Impact of Communist Ideology on the Patenting Activity of Chinese Firms	Xu	2023	Xu 2023 The Impact of Communist Ideology on the Patenting Activity of Chinese Firms.pdf	10.5465/amj.2020.0810	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0810	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0810?download=true	
Receiving Service from a Person with a Disability: Stereotypes, Perceptions of Corporate Social Responsibility, and the Opportunity for Increased Corporate Reputation	Dwertmann	2023	Dwertmann 2023 Receiving Service from a Person with a Disability Stereotypes, Perceptions of Corporate Social Responsibility, and the Opportunity for Increased Corporate Reputation.pdf	10.5465/amj.2020.0084	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0084	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0084?download=true	
When Do Novel Business Models Lead to High Performance? A Configurational Approach to Value Drivers, Competitive Strategy, and Firm Environment	Leppänen	2023	Leppänen 2023 When Do Novel Business Models Lead to High Performance A Configurational Approach to Value Drivers, Competitive Strategy, and Firm Environment.pdf	10.5465/amj.2020.0969	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0969	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0969?download=true	
Toward a Configural Theory of Job Demands and Resources	Ong	2023	Ong 2023 Toward a Configural Theory of Job Demands and Resources.pdf	10.5465/amj.2020.0493	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0493	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0493?download=true	
Losing Control: The Uncertain Management of Concealable Stigmas When Work and Social Media Collide	Lauriano	2023	Lauriano 2023 Losing Control The Uncertain Management of Concealable Stigmas When Work and Social Media Collide.pdf	10.5465/amj.2020.0586	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0586	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0586?download=true	
Gains and Losses: Week-To-Week Changes in Leader–Follower Relationships	Dimotakis	2023	Dimotakis 2023 Gains and Losses Week-To-Week Changes in Leader–Follower Relationships.pdf	10.5465/amj.2019.1100	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.1100	https://journals.aom.org/doi/pdf/10.5465/amj.2019.1100?download=true	
The Role of Discernment and Modulation in Enacting Occupational Values: How Career Advising Professionals Navigate Tensions with Clients	Chan	2023	Chan 2023 The Role of Discernment and Modulation in Enacting Occupational Values How Career Advising Professionals Navigate Tensions with Clients.pdf	10.5465/amj.2020.1014	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1014	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1014?download=true	
Does Power Protect Female Moral Objectors? How and When Moral Objectors’ Gender, Power, and Use of Organizational Frames Influence Perceived Self-Control and Experienced Retaliation	Kundro	2023	Kundro 2023 Does Power Protect Female Moral Objectors How and When Moral Objectors’ Gender, Power, and Use of Organizational Frames Influence Perceived Self-Control and Experienced Retaliation.pdf	10.5465/amj.2019.1383	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.1383	https://journals.aom.org/doi/pdf/10.5465/amj.2019.1383?download=true	
Valuing Spanners: Why Category Nesting and Expertise Matter	Cudennec	2023	Cudennec 2023 Valuing Spanners Why Category Nesting and Expertise Matter.pdf	10.5465/amj.2020.0042	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.0042	https://journals.aom.org/doi/pdf/10.5465/amj.2020.0042?download=true	
