title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
Expanding AMJ’S Manuscript Portfolio: Research Methods Articles Designed to Advance Theory and Span Boundaries	Gruber	2024	Gruber 2024 Expanding AMJ’S Manuscript Portfolio Research Methods Articles Designed to Advance Theory and Span Boundaries.pdf	10.5465/amj.2024.4001	downloaded	From the Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2024.4001	https://journals.aom.org/doi/pdf/10.5465/amj.2024.4001?download=true	
When and How Artificial Intelligence Augments Employee Creativity	Jia	2024	Jia 2024 When and How Artificial Intelligence Augments Employee Creativity.pdf	10.5465/amj.2022.0426	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0426	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0426?download=true	
Intra-Individual Conflict and Task Performance in a Multiteam Context: Examining the Structural Elements of Conflict Experience	Park	2024	Park 2024 Intra-Individual Conflict and Task Performance in a Multiteam Context Examining the Structural Elements of Conflict Experience.pdf	10.5465/amj.2021.0285	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0285	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0285?download=true	
Coherence within and across Categories: The Dynamic Viability of Product Categories on Kickstarter	Soublière	2024	Soublière 2024 Coherence within and across Categories The Dynamic Viability of Product Categories on Kickstarter.pdf	10.5465/amj.2022.0105	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0105	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0105?download=true	
Firm–Stakeholder Dialogue and the Media: The Evolution of Stakeholder Evaluations in Different Informational Environments	Dorobantu	2024	Dorobantu 2024 Firm–Stakeholder Dialogue and the Media The Evolution of Stakeholder Evaluations in Different Informational Environments.pdf	10.5465/amj.2021.0103	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0103	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0103?download=true	
How Much Inequity Do You See? Structural Power, Perceptions of Gender and Racial Inequity, and Support for Diversity Initiatives	To	2024	To 2024 How Much Inequity Do You See Structural Power, Perceptions of Gender and Racial Inequity, and Support for Diversity Initiatives.pdf	10.5465/amj.2022.0253	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0253	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0253?download=true	
Media Coverage of Firms in the Presence of Multiple Signals: A Configurational Approach	Bettinazzi	2024	Bettinazzi 2024 Media Coverage of Firms in the Presence of Multiple Signals A Configurational Approach.pdf	10.5465/amj.2020.1791	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1791	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1791?download=true	
Performance Shortfalls, Response Directions, and Belief in the Effectiveness of Responses	Cao	2024	Cao 2024 Performance Shortfalls, Response Directions, and Belief in the Effectiveness of Responses.pdf	10.5465/amj.2021.0241	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0241	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0241?download=true	
Now You See Me: How Status and Categorical Proximity Shape Misconduct Scandalization	Han	2024	Han 2024 Now You See Me How Status and Categorical Proximity Shape Misconduct Scandalization.pdf	10.5465/amj.2022.0365	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0365	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0365?download=true	
How Do Fieldworkers in Poverty Craft Meaningful Roles to Achieve Social Impact? Female Teachers in Slums in India	Barkema	2024	Barkema 2024 How Do Fieldworkers in Poverty Craft Meaningful Roles to Achieve Social Impact Female Teachers in Slums in India.pdf	10.5465/amj.2021.1244	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.1244	https://journals.aom.org/doi/pdf/10.5465/amj.2021.1244?download=true	
Coevolutionary Lock-In in External Search	Park	2024	Park 2024 Coevolutionary Lock-In in External Search.pdf	10.5465/amj.2022.0710	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0710	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0710?download=true	
