title	first_author_last	year	saved_filename	doi	status	section	article_type	article_url	pdf_url	note
From Scarcity to Abundance: Scholars and Scholarship in an Age of Generative Artificial Intelligence	Grimes	2023	Grimes 2023 From Scarcity to Abundance Scholars and Scholarship in an Age of Generative Artificial Intelligence.pdf	10.5465/amj.2023.4006	downloaded	From the Editors	research-article	https://journals.aom.org/doi/10.5465/amj.2023.4006	https://journals.aom.org/doi/pdf/10.5465/amj.2023.4006?download=true	
Discerning Saints: Moralization of Intrinsic Motivation and Selective Prosociality at Work	Kwon	2023	Kwon 2023 Discerning Saints Moralization of Intrinsic Motivation and Selective Prosociality at Work.pdf	10.5465/amj.2020.1761	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1761	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1761?download=true	
Triggers, Traps, and Disconnect: How Governance Obstacles Hinder Progress on Grand Challenges	Couture	2023	Couture 2023 Triggers, Traps, and Disconnect How Governance Obstacles Hinder Progress on Grand Challenges.pdf	10.5465/amj.2020.1716	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1716	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1716?download=true	
Calling Oneself and Others In: Brokering Identities in Diversity Training	Sugiyama	2023	Sugiyama 2023 Calling Oneself and Others In Brokering Identities in Diversity Training.pdf	10.5465/amj.2020.1579	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1579	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1579?download=true	
Confronting the Contested Past: Sensemaking and Rhetorical History in the Reconstruction of Organizational Identity	Hampel	2023	Hampel 2023 Confronting the Contested Past Sensemaking and Rhetorical History in the Reconstruction of Organizational Identity.pdf	10.5465/amj.2020.1132	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1132	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1132?download=true	
Mother’s Reentry: A Relative Contribution Perspective of Dual-Earner Parents’ Roles, Resources, and Outcomes	Little	2023	Little 2023 Mother’s Reentry A Relative Contribution Perspective of Dual-Earner Parents’ Roles, Resources, and Outcomes.pdf	10.5465/amj.2019.1344	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2019.1344	https://journals.aom.org/doi/pdf/10.5465/amj.2019.1344?download=true	
“Can I Sell You Avocadoes and Talk to You About Contraception?” “Well, It Depends Which Comes First”: Anchor Roles and Asymmetric Boundaries	Shulist	2023	Shulist 2023 “Can I Sell You Avocadoes and Talk to You About Contraception” “Well, It Depends Which Comes First” Anchor Roles and Asymmetric Boundaries.pdf	10.5465/amj.2020.1821	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2020.1821	https://journals.aom.org/doi/pdf/10.5465/amj.2020.1821?download=true	
The Experimental Hand: How Platform-Based Experimentation Reconfigures Worker Autonomy	Rahman	2023	Rahman 2023 The Experimental Hand How Platform-Based Experimentation Reconfigures Worker Autonomy.pdf	10.5465/amj.2022.0638	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2022.0638	https://journals.aom.org/doi/pdf/10.5465/amj.2022.0638?download=true	
Advance ’Em to Attract ’Em: How Promotions Influence Applications in Internal Talent Markets	Keller	2023	Keller 2023 Advance ’Em to Attract ’Em How Promotions Influence Applications in Internal Talent Markets.pdf	10.5465/amj.2021.1174	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.1174	https://journals.aom.org/doi/pdf/10.5465/amj.2021.1174?download=true	
The Effects of Between-Group Pay Dispersion	Zhang	2023	Zhang 2023 The Effects of Between-Group Pay Dispersion.pdf	10.5465/amj.2021.0799	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0799	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0799?download=true	
Navigating the Paradox of Promise through the Construction of Meaningful Career Narratives	Fetzer	2023	Fetzer 2023 Navigating the Paradox of Promise through the Construction of Meaningful Career Narratives.pdf	10.5465/amj.2021.0292	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0292	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0292?download=true	
Who Is Leaving and Why? The Dynamics of High-Quality Human Capital Outflows	Sajjadiani	2023	Sajjadiani 2023 Who Is Leaving and Why The Dynamics of High-Quality Human Capital Outflows.pdf	10.5465/amj.2021.1327	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.1327	https://journals.aom.org/doi/pdf/10.5465/amj.2021.1327?download=true	
Seeing the Forest and the Trees: Exploring the Impact of Inter- and Intra-Entrepreneurial Ecosystem Embeddedness on New Venture Creation	Xu	2023	Xu 2023 Seeing the Forest and the Trees Exploring the Impact of Inter- and Intra-Entrepreneurial Ecosystem Embeddedness on New Venture Creation.pdf	10.5465/amj.2021.0791	downloaded	Articles	research-article	https://journals.aom.org/doi/10.5465/amj.2021.0791	https://journals.aom.org/doi/pdf/10.5465/amj.2021.0791?download=true	
